keys;en;pt_BR
NEW_GAME;New Game;Novo Jogo
CONTINUE;Continue;Continue
OPTIONS;Options;Opções
SIMULATOR;Simulator;Simulador
SIMULATOR_HINT;Defeat Bubble to unlock;Derrote o Bubble para desbloquear
MUSIC;Music;Música
EFFECT;Effect;Efeito
MUTE;Mute;Mudo
LANGUAGE;Languages;Idiomas
PT;Portuguese;Portugês
EN;English;Inglês
SAVE;Save;Salvar
BACK;Back;Voltar
GEAR;Gear;Engrenagem
BOOK;Book;Livro
SCROLL;Scroll;Pergaminho
BAG;Bag;Mochila
MAP;Map;Mapa
BATTERY;Battery;Bateria
COIN;Coin;Moeda
YES;Yes;Sim
NO;No;Não
NOTHING;Nothing;Nada
CHALLENGED;Challenged;Desafiado
CAPTURED;Captured;Capturado
CAPTURE;Capture;Capturar
FLED;Fled;Fugiu
HELP;Help;Ajuda
LAB;Lab (Tutorial);Laboratório (Tutorial)
F_VARIABLES;Variable's Forest;Floresta das Variáveis
M_OPERATORS;Operator's Mountain;Montanha dos Operadores
B_CONDITIONS;Condition's Beach;Praia das Condicionais
D_CONTROLS;Control's Desert;Deserto do Controle
BOSS;Boss;Chefe
ALL_MAPS;All maps;Todos Mapas
DR;Dr Compiler;Dr Compilador
INCORRECT;Incorrect;Incorreto
INCORRECT_MSG;Codemon Fled, don't give up!\nDoubts look for the Dr Compiler;Codemon Fugiu, não desista!\nDúvidas procure o Dr Compilador
CORRECT;Correct;Correto
INVENTORY;Inventory;Inventário
QUESTS;Quests;Missões
GOLD_PEN_DRIVE;Gold Pen Drive;Pen Drive Dourado
BUFF_COIN_DESC;x2 coin when defeating a codemon;x2 moeda ao derrotar um codemon
GREEN_PEN_DRIVE;Green Pen Drive;Pen Drive Verde
BUFF_CAPTURE_DESC;+20% capture chance when defeating a codemon;+20% chance de captura ao derrotar um codemon
PORTABLE_BATTERY;Portable Battery;Bateria Portátil
BATTERY_DESC;Instantly recharges 50% of the battery;Recarrega 50% da bateria instantaneamente
FAST_TRAVEL;Do you want to take a quick trip to:;Deseja realizar uma viagem rápida para:
STORE;Store;Loja
CART;Cart;Carrinho
BUY;Buy;Comprar
OBS_STORE;Double-click on item to remove from cart;Clique duas vezes no item para remover do carrinho
DESC_QUEST;Capture the following types of codemons;Capture os seguintes tipos de codemons
VARIABLES;Variables;Variáveis
ARITHMETIC_OP;Arithmetic\nOperator;Operador\nAritmético
ARITHMETIC_OP2;Arithmetic Operator;Operador Aritmético
LOGIC_OP;Logic\nOperator;Operador\nLógico
LOGIC_OP2;Logic Operator;Operador Lógico
CONTROL_FLOW;Control\nFlow;Controle\nEscopo
VAR_HINT;Easier than the Alphabet;Mais fácil que o Alfabeto
ARITH_HINT;Master of Calculations;Mestre dos Cálculos
LOGIC_HINT;Between 0 and 1;Entre 0 e 1
CONTROL_HINT;Everything under control;Tudo sobre Controle
BONUS_COIN;2x Coins;2x Moedas
BONUS_CAPTURE;+20% capture;+20% captura
INFINITE_ENERGY;Infinite\nEnergy;Energia\nInfinita
PAUSE;Pause;Parado
RESUME;Resume;Resumir
MAIN_MENU;Main Menu;Menu Principal
QUIT_MSG;Do you really want to leave?;Deseja realmente sair?
QUIT_OBS;The game will be saved when you return to the Main Menu;O jogo será salvo ao retornar ao Menu Principal
VARIABLE;Variable;Variável
ARITHMETIC;Arithmetic;Aritmético
LOGIC;Logic;Lógico
CONTROL;Control;Controle
SORT;Sort;Ordenação
LOGIC_GATE;Logic Gate;Porta Lógica
NO_BATTERY;Insufficient battery\nRecharge with NPC Plug;Bateria insuficiente\nRecarregar com NPC Tomada
NO_COIN;Insufficient Codecoin;Codecoin insuficiente
NO_TYPE;Different variable types\n;Tipos de variáveis diferentes\n
NO_INFINITE;Avoid performing more than 10\niterations in the function;Evite realizar mais de 10\niterações na função
NO_DIVIDE_ZERO;Operation with divisor 0\ninvalid operation;Operação com divisor 0\noperação inválida
NO_EXPRESSION;Operation does not exist\n;Operação não existe\n
TYPE;Type;Tipo
LOCATION;Location;Localização
INTRO_1;Wow! If it weren't for the bus strike and this chaos in the traffic, I wouldn't have been late for my first class.;Nossa! Se não fosse a greve de ônibus e esse caos que está o trânsito, eu não teria me atrasado para a minha primeira aula.
INTRO_2;I can't wait to start my academic journey and capture my first Codemon!;Mal posso esperar para começar minha jornada acadêmica e capturar o meu primeiro Codemon!
LAB_PART_1-1;Excuse me, teacher! I'm looking for Dr. Compiler, do you know where I can find him?;Com licença, professor! Estou procurando o Drº Compilador, sabe onde posso encontrá-lo?
LAB_PART_1-2;Of course ... you are talking to him personally. You must be the new academic who is late. Hmmm, let me see here ... Jimmy, is your name?;Claro... estás falando com ele pessoalmente. Você deve ser o novo acadêmico que está atrasado. Hmmm, deixa eu ver aqui... Jimmy, é o seu nome?
LAB_PART_1-3;Hehe ... That's right, nice to meet you teacher!;Hehe... Isso mesmo, prazer em conhecê-lo professor!
LAB_PART_1-4;Nice to meet you, too! Before I start to explain everything about codemons, get that notebook on the right table, it will be fundamental in your journey ...;Prazer em conhecê-lo também carinha! Antes de começar a te explicar tudo sobre os codemons, pegue aquele notebook na mesa direita, ele será fundamental na sua jornada... 
LAB_PART_1-5;To perform this task, I wrote some guidelines on the board.;Para executar essa tarefa, escrevi algumas orientações no quadro.
LAB_PART_2-1;You noticed that several objects appeared on your screen, right ?! I can explain the function of each one …;Você reparou que apareceu vários objetos na sua tela, né?! Posso te explicar a função de cada um...
LAB_PART_2-2;Take that notebook on the table to your right, it will be instrumental in your journey ... To perform this task, I wrote some guidelines on the board.;Pegue aquele notebook na mesa a sua direita, ele será fundamental na sua jornada... Para executar essa tarefa, escrevi algumas orientações no quadro.
LAB_TUT_1;What would you like to know?;O que gostaria de saber?
LAB_TUT_2;Can I help you with anything else?;Posso te ajudar em mais alguma coisa?
